,Unnamed: 0_x,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x.1,PPG_x,FGM_x,FGA_x,FGM_x.1,FGA_x.1,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x.1,GP_y.1,PPG_y,FGM_y,FGA_y,FGM_y.1,FGA_y.1,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y.1,GP_x.2,PPG_x.1,FTM_x,FTA_x,FTM_x.1,FTA_x.1,FT%_x,GP_y.2,PPG_y.1,FTM_y,FTA_y,FTM_y.1,FTA_y.1,FT%_y,GP_x.3,PPG_x.2,3PM_x,3PA_x,3PM_x.1,3PA_x.1,3P%_x,2PM_x.1,2PA_x.1,2P%_x.1,PPS_x.1,FG%_x.2,GP_y.3,PPG_y.2,3PM_y,3PA_y,3PM_y.1,3PA_y.1,3P%_y,2PM_y.1,2PA_y.1,2P%_y.1,PPS_y.1,FG%_y.2,GP_x.4,MPG_x.1,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y.4,MPG_y.1,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x.5,MPG_x.2,STL_x,STPG_x,STP40M_x,TO_x.1,TOPG_x.1,PF_x,ST/TO_x,ST/PF_x,GP_y.5,MPG_y.2,STL_y,STPG_y,STP40M_y,TO_y.1,TOPG_y.1,PF_y,ST/TO_y,ST/PF_y,GP_x.6,MPG_x.3,BLK_x,PF_x.1,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y.6,MPG_y.3,BLK_y,PF_y.1,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x.7,MPG_x.4,PTS_x,FGM-FGA_x,FG%_x.3,3PM-3PA_x,3P%_x.1,FTM-FTA_x,FT%_x.1,GP_y.7,MPG_y.4,PTS_y,FGM-FGA_y,FG%_y.3,3PM-3PA_y,3P%_y.1,FTM-FTA_y,FT%_y.1,GP_x.8,MPG_x.5,PTS_x.1,FGM-FGA_x.1,FG%_x.4,3PM-3PA_x.1,3P%_x.2,FTM-FTA_x.1,FT%_x.2,GP_y.8,MPG_y.5,PTS_y.1,FGM-FGA_y.1,FG%_y.4,3PM-3PA_y.1,3P%_y.2,FTM-FTA_y.1,FT%_y.2,Unnamed: 0_y,Team,Salary,Position,Season,Percentile
640,640,Andre Ingram,AMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15.2,2.6,3.2,79,95,0.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6252,Los Angeles Lakers,13824, G,2017-2018,0.004319654
12,12,Andre Roberson,COLO,4,25.3,10,2.5,22,5.5,32,8,12.7,30,33.4,92,3.1,247,8.2,339,11.3,13.5,4,9.8,4.3,5.5,17,22,0.773,16,19,0.842,1.77,0.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36.5,5,2.5,2.74,7,3.5,4,0.71,1.25,30,33.4,65,2.17,2.59,72,2.4,73,0.9,0.89,2,36.5,3,4,1.5,1.64,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3893,Oklahoma City Thunder,1110840, SG,2012-2013,0.344632768
641,641,Andrew Andrews,WASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,20.9,7.8,9.2,251,295,0.851,,,,,,,,,,,,,,,,,,,,,,,,,2,34,11,5.5,7,3.5,6.5,1.57,32,33.8,155,4.8,88,2.8,5.7,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,21,4.5-11.5,0.391,1.0-2.0,0.5,11.0-13.0,0.846,32,33.8,20.9,5.4-13.7,0.393,2.3-5.9,0.399,7.8-9.2,0.851,,,,,,,,,,32,33.8,670,172-438,0.393,75-188,0.399,251-295,0.851,5738,Charlotte Hornets,543471, G,2016-2017,0.114718615
13,13,Andrew Bogut,UTAH,3,40,14,4.7,20,6.7,34,11.3,11.3,32,34.5,116,3.6,277,8.7,393,12.3,14.2,3,18,7,13,21,39,0.538,19,34,0.559,1.38,0.564,32,20.7,8.1,12.9,260,414,0.628,253,394,0.642,1.6,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,40,6,8,2,2,0.75,32,34.5,59,70,1.84,2.14,0.84,3,40,18,7.0-13.0,0.538,0.7-1.7,0.4,3.3-8.0,0.417,32,34.5,20.7,8.1-12.9,0.628,0.2-0.6,0.35,4.2-5.8,0.728,3,40,54,21-39,0.538,5-Feb,0.4,24-Oct,0.417,32,34.5,661,260-414,0.628,20-Jul,0.35,134-184,0.728,684,Milwaukee Bucks,4340520, C,2005-2006,0.6525
501,501,Andrew Goudelock,COFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27.7,5.3,6,16,18,0.889,,,,,,,,2,20.5,3.5,6,7,12,0.583,8,14,0.571,1.58,0.712,34,16.5,2.6,6,88,204,0.431,118,251,0.47,1.23,0.549,2,33,9,4.5,5,2.5,5.5,1.8,34,34.9,152,4.5,104,3.1,5.1,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,38.7,27.7,8.7-21.0,0.413,5.0-12.0,0.417,5.3-6.0,0.889,34,34.9,23.4,8.6-18.7,0.459,3.4-8.4,0.406,2.8-3.4,0.81,3,38.7,83,26-63,0.413,15-36,0.417,16-18,0.889,34,34.9,794,292-636,0.459,116-286,0.406,94-116,0.81,5314,Houston Rockets,200600, PG,2015-2016,0.034642032
502,502,Andrew Harrison,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10.4,4.6,5.4,23,27,0.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,35,30,5,24,4,5.7,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,35,66,21-61,0.344,17-May,0.294,19-26,0.731,,,,,,,,,,5702,Memphis Grizzlies,945000, G,2016-2017,0.192640693
487,487,Andrew Nicholson,SBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20.8,7.6,13.4,229,401,0.571,223,378,0.59,1.56,0.579,,,,,,,,,,,,,,,1,20,4,5,4,5,0.8,4,12,0.333,1.18,0.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,2,3,2,2.67,0.67,30,30.2,55,90,1.83,2.43,0.61,1,35,20,8.0-14.0,0.571,0.0-0.0,0,4.0-6.0,0.667,30,33.8,20.8,7.6-13.4,0.571,0.2-0.8,0.261,5.4-7.5,0.712,,,,,,,,,,30,33.8,625,229-401,0.571,23-Jun,0.261,161-226,0.712,3856,Orlando Magic,1482000, PF,2012-2013,0.414312618
503,503,Andrew Wiggins,KU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11.5,3.5,3.5,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35.5,4,6,2,2.25,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,32.6,574,181-403,0.449,43-123,0.35,169-220,0.768,4556,Minnesota Timberwolves,5510640, SF,2014-2015,0.781609195
504,504,Andy Rautins,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16.7,2.7,3,8,9,0.889,,,,,,,,3,16.7,4,8,12,24,0.5,3,7,0.429,1.61,0.677,,,,,,,,,,,,,3,34,12,4,10,3.3,4.7,1.2,32,32.3,159,5,88,2.8,6.1,1.81,,,,,,,,,,,32,32.3,65,2.03,2.51,88,2.75,68,0.74,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34,50,15-31,0.484,24-Dec,0.5,9-Aug,0.889,,,,,,,,,,2999,New York Knicks,600000, SG,2010-2011,0.116331096
14,14,Anthony Bennett,UNLV,1,37,3,3,8,8,11,11,11.9,34,26.9,83,2.4,191,5.6,274,8.1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37,2,2,2.16,2,2,4,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,26.9,549,198-368,0.538,36-95,0.379,117-167,0.701,4167,Cleveland Cavaliers,5324280, PF,2013-2014,0.763636364
505,505,Anthony Brown,STAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15.2,4.2,4.6,21,23,0.913,,,,,,,,5,11.6,1.6,3,8,16,0.5,13,29,0.448,1.29,0.556,33,12.7,1.5,3,49,111,0.441,87,170,0.512,1.49,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,36.8,76,23-52,0.442,22-Sep,0.409,21-23,0.913,,,,,,,,,,5281,Los Angeles Lakers,700000, F,2015-2016,0.110854503
15,15,Anthony Davis,UK,6,34.7,17,2.8,57,9.5,74,12.3,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,34.7,29,12,4.83,5.58,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,6,34.7,82,25-49,0.51,0-2,0,32-43,0.744,,,,,,,,,,3675,New Orleans Hornets,5144280, PF,2012-2013,0.755178908
378,378,Anthony Davis,APSU,,,,,,,,,,,,,,,,,,,2,13.5,5,9,10,18,0.556,9,16,0.563,1.5,0.583,,,,,,,,,,,,,2,13.5,3,3,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38.5,4,2,2.08,2,1,3,2,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3675,New Orleans Hornets,5144280, PF,2012-2013,0.755178908
16,16,Anthony Johnson,FAIR,2,36,9,4.5,9,4.5,18,9,10,32,30.2,149,4.7,167,5.2,316,9.9,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36,5,2.5,2.78,3,1.5,7,1.67,0.71,,,,,,,,,,,2,36,8,7,4,4.44,1.14,32,30.2,74,96,2.31,3.06,0.77,2,36,22,8.0-15.5,0.516,0.0-0.0,0,6.0-9.5,0.632,,,,,,,,,,2,36,44,16-31,0.516,0-0,0,19-Dec,0.632,,,,,,,,,,757,Indiana Pacers,2420000, PG,2005-2006,0.47
642,642,Anthony Johnson,UNCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,15.8,3.5,4.1,110,128,0.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757,Indiana Pacers,2420000, PG,2005-2006,0.47
718,718,Anthony Johnson,MONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,19.6,1.5,3,45,97,0.464,138,265,0.521,1.68,0.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,34.9,19.6,5.9-11.7,0.506,1.5-3.1,0.464,6.4-7.3,0.88,,,,,,,,,,31,34.9,609,183-362,0.506,45-97,0.464,198-225,0.88,757,Indiana Pacers,2420000, PG,2005-2006,0.47
643,643,Anthony Morrow,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,16,2.3,2.5,63,71,0.887,2,8.5,1.5,3,3,6,0.5,3,8,0.375,1.21,0.536,32,14.3,2.5,6,81,181,0.448,73,155,0.471,1.36,0.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,1,2,1,1.54,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2169,Golden State Warriors,442114, SG,2008-2009,0.036855037
317,317,Anthony Randolph,LSU,,,,,,,,,,31,32.8,86,2.8,177,5.7,263,8.5,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,32.8,70,85,2.26,2.76,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055,Golden State Warriors,1709280, SF,2008-2009,0.316953317
506,506,Anthony Roberson,FLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,3.5,3.5,7,7,1,30,18.2,2.5,2.8,74,83,0.892,,,,,,,,,,,,,29,17.8,3.3,8,97,227,0.427,76,150,0.507,1.37,0.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,22,7.0-13.0,0.538,2.0-6.0,0.333,6.0-6.0,1,29,31.1,17.8,6.0-13.0,0.459,3.3-7.8,0.427,2.5-3.0,0.849,,,,,,,,,,29,31.1,516,173-377,0.459,97-227,0.427,73-86,0.849,927,Memphis Grizzlies,398762, SG,2005-2006,0.045
17,17,Anthony Tolliver,CREI,2,34,5,2.5,9,4.5,14,7,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13.5,6,6.5,12,13,0.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,3,4,1.5,1.76,0.75,32,31.6,57,98,1.78,2.26,0.58,1,33,15,7.0-16.0,0.438,0.0-1.0,0,1.0-2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2576,Portland Trail Blazers,427316, PF,2009-2010,0.066666667
379,379,Antoine Wright,TA&M,,,,,,,,,,,,,,,,,,,3,16.3,5.7,9.7,17,29,0.586,11,17,0.647,1.69,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16.3,2,4,6,12,0.5,11,17,0.647,1.69,0.69,28,18,2.3,5,65,147,0.442,111,209,0.531,1.42,0.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,37.7,3,5,1,1.06,0.6,,,,,,,,3,37.7,16.3,5.7-9.7,0.586,2.0-4.0,0.5,3.0-4.3,0.692,28,33.5,18,6.3-12.7,0.494,2.3-5.3,0.442,3.1-4.5,0.69,3,37.7,49,17-29,0.586,12-Jun,0.5,13-Sep,0.692,28,33.5,504,176-356,0.494,65-147,0.442,87-126,0.69,814,New Jersey Nets,1461360, SF,2005-2006,0.3275
380,380,Antonio Burks,MEM,,,,,,,,,,,,,,,,,,,2,15,6,11,12,22,0.545,10,18,0.556,1.36,0.591,,,,,,,,,,,,,5,9.8,3.4,4,17,20,0.85,,,,,,,,2,15,1,2,2,4,0.5,10,18,0.556,1.36,0.591,,,,,,,,,,,,,5,34.8,22,4.4,17,3.4,5.1,1.29,28,34.1,154,5.5,67,2.4,6.5,2.3,5,34.8,12,2.4,2.76,17,3.4,12,0.71,1,28,34.1,67,2.39,2.81,67,2.39,66,1,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,34.8,49,16-37,0.432,0-0,0,17-20,0.85,,,,,,,,,,913,Memphis Grizzlies,641748, PG,2005-2006,0.08
719,719,Antonio Burks,SFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,15.3,2.6,5,78,164,0.476,97,192,0.505,1.29,0.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,Memphis Grizzlies,641748, PG,2005-2006,0.08
381,381,Archie Goodwin,UK,,,,,,,,,,,,,,,,,,,1,18,5,8,5,8,0.625,5,8,0.625,2.25,0.625,,,,,,,,,,,,,1,18,8,8,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4373,Phoenix Suns,1064400, SG,2013-2014,0.228571429
18,18,Arinze Onuaku,SYR,3,30.3,15,5,17,5.7,32,10.7,14.1,32,30.6,99,3.1,153,4.8,252,7.9,10.3,3,10.3,5,6.3,15,19,0.789,15,19,0.789,1.63,0.789,35,10.3,4.7,7.1,163,248,0.657,163,248,0.657,1.46,0.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30.3,7,2.33,3.08,4,1.33,8,1.75,0.88,,,,,,,,,,,3,30.3,5,8,1.67,2.2,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,3,30.3,41,19-36,0.528,0-0,0,10-Mar,0.3,,,,,,,,,,6175,Orlando Magic,980431, PF,2017-2018,0.17062635
744,744,Armon Johnson,NEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,6,6,6,6,7.3,1,32,34.3,181,5.7,109,3.4,6.6,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,18,7.0-13.0,0.538,2.0-5.0,0.4,2.0-2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3528,Portland Trail Blazers,104494, PG,2011-2012,0.034412955
19,19,Arnett Moultrie,UTEP,6,34.2,20,3.3,32,5.3,52,8.7,10.1,31,25.4,101,3.3,149,4.8,250,8.1,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,34.2,79,34-61,0.557,6-Feb,0.333,13-Sep,0.692,,,,,,,,,,3908,Philadelphia 76ers,1042320, PF,2012-2013,0.316384181
507,507,Arnett Moultrie,MSST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,8,9,8,9,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,49,34,12.0-23.0,0.522,2.0-5.0,0.4,8.0-9.0,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,3908,Philadelphia 76ers,1042320, PF,2012-2013,0.316384181
20,20,Aron Baynes,WSU,3,26,6,2,21,7,27,9,13.8,,,,,,,,,,3,13,5.7,8,17,24,0.708,17,24,0.708,1.63,0.708,32,12.5,4.6,7.9,147,254,0.579,146,253,0.577,1.58,0.581,2,8,2,2.5,4,5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,2,4,2,2.35,0.5,,,,,,,,1,34,19,6.0-10.0,0.6,0.0-0.0,0,7.0-9.0,0.778,,,,,,,,,,3,26,39,17-24,0.708,0-0,0,11-May,0.455,,,,,,,,,,4038,San Antonio Spurs,239588, C,2012-2013,0.071563089
508,508,Arron Afflalo,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11.5,2.7,3.3,16,20,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,33,18,5.6-13.2,0.424,2.0-5.8,0.345,4.8-5.2,0.923,31,32.9,16.7,5.9-12.6,0.467,2.5-6.5,0.379,2.5-3.2,0.77,6,30.5,69,21-62,0.339,Nov-34,0.324,16-20,0.8,33,33.9,549,182-377,0.483,72-193,0.373,113-140,0.807,1281,Orlando Magic,944520, G,2006-2007,0.188405797
644,644,Austin Daye,GONZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,10.6,2.8,3.1,89,100,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26.7,8,10,2.67,4,0.8,31,26.3,62,87,2,3.04,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460,Detroit Pistons,1677840, SF,2009-2010,0.342857143
846,846,Austin Rivers,DUKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,19,5.0-14.0,0.357,2.0-7.0,0.286,7.0-10.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,3805,New Orleans Hornets,2238360, PG,2012-2013,0.510357815
801,801,Avery Bradley,TEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,42,3,3,2.86,0,0,0,0,0,,,,,,,,,,,1,42,2,0,2,1.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2897,Boston Celtics,1418160, SG,2010-2011,0.344519016
382,382,Awvee Storey,ASU,,,,,,,,,,,,,,,,,,,1,29,13,20,13,20,0.65,13,20,0.65,1.45,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,2,2,3.08,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,26,29,13.0-20.0,0.65,0.0-0.0,0,3.0-4.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,Washington Wizards,641748, SF,2005-2006,0.0875
21,21,Bam Adebayo,UK,4,34.8,13,3.3,26,6.5,39,9.8,11.2,,,,,,,,,,,,,,,,,,,,,,34,13.3,4.5,7.4,154,251,0.614,154,251,0.614,1.8,0.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,29.6,53,94,1.56,2.11,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6046,Miami Heat,2955840, C,2017-2018,0.44924406
509,509,Ben Gordon,CONN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,21.2,6.5,7.2,39,43,0.907,,,,,,,,3,19.7,2.7,5,8,16,0.5,10,25,0.4,1.44,0.537,33,18.1,2.7,6,90,202,0.446,112,255,0.439,1.3,0.54,6,37.3,19,3.2,17,2.8,3.4,1.12,33,34,157,4.8,91,2.8,5.6,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,37.3,21.2,6.2-15.7,0.394,2.3-6.3,0.368,6.5-7.2,0.907,33,34,18.1,6.1-13.8,0.442,2.7-6.1,0.446,3.1-3.8,0.803,6,37.3,127,37-94,0.394,14-38,0.368,39-43,0.907,33,34,596,202-457,0.442,90-202,0.446,102-127,0.803,702,Chicago Bulls,3610200, SG,2005-2006,0.6075
510,510,Ben McLemore,KU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,3,3.3,9,10,0.9,34,16.4,3.3,3.8,111,128,0.867,,,,,,,,,,,,,34,16.4,2,5,69,158,0.437,119,213,0.559,1.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,32.2,556,188-371,0.507,69-158,0.437,111-128,0.867,4267,Sacramento Kings,2895960, SG,2013-2014,0.503896104
318,318,Ben Simmons,LSU,,,,,,,,,,33,34.9,103,3.1,285,8.6,388,11.8,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,34.9,158,4.8,111,3.4,5.5,1.42,,,,,,,,,,,33,34.9,65,1.97,2.26,111,3.36,92,0.59,0.71,,,,,,,,,,,,,,,,,,,,,,,,33,34.9,19.2,6.5-11.7,0.56,0.0-0.1,0.333,6.0-9.0,0.67,,,,,,,,,,33,34.9,632,216-386,0.56,3-Jan,0.333,199-297,0.67,5485,Philadelphia 76ers,5903160, PG,2016-2017,0.662337662
511,511,Ben Uzoh,TLSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,3,3,6,6,1,33,15.3,3.4,4,112,132,0.848,,,,,,,,,,,,,,,,,,,,,,,,,1,31,5,5,2,2,6.5,2.5,34,34.4,158,4.6,78,2.3,5.4,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,35.7,17.3,6.0-12.8,0.468,1.2-4.8,0.241,4.2-6.3,0.658,,,,,,,,,,6,35.7,104,36-77,0.468,29-Jul,0.241,25-38,0.658,,,,,,,,,,3522,Toronto Raptors,190548, PG,2011-2012,0.046558704
22,22,Bernard James,FSU,3,24,6,2,19,6.3,25,8.3,13.9,,,,,,,,,,3,10.7,5,7.3,15,22,0.682,15,22,0.682,1.45,0.682,31,8.4,3.3,5,102,156,0.654,102,156,0.654,1.67,0.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,11,4,3.67,6.11,2.75,31,20.9,71,52,2.29,4.39,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4871,Dallas Mavericks,236886, C,2014-2015,0.057471264
512,512,Blake Ahearn,MOST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10.7,3.3,3.3,10,10,1,33,10.5,3.5,3.6,117,120,0.975,,,,,,,,,,,,,32,15.4,2.8,6,91,193,0.472,56,119,0.471,1.58,0.617,,,,,,,,,,,,,,,,,3,33.7,7,2.33,2.77,6,2,3,1.17,2.33,,,,,,,,,,,,,,,,,,,,,,,,,1,32,15,5.0-14.0,0.357,3.0-9.0,0.333,2.0-3.0,0.667,,,,,,,,,,3,33.7,32,31-Aug,0.258,23-Jun,0.261,10-Oct,1,,,,,,,,,,1769,Miami Heat,67844, G,2007-2008,0.019138756
