Team,Salary,Player,Position,Season,Percentile
Chicago Bulls,3726000,Marcus Fizer, F,2003-2004,0.312138728
Orlando Magic,3625000,Andrew DeClercq, C,2003-2004,0.306358382
Cleveland Cavaliers,2823000,Chris Mihm, C,2003-2004,0.300578035
Toronto Raptors,2800000,Michael Curry, SF,2003-2004,0.294797688
New Orleans Hornets,2800000,George Lynch, SF,2003-2004,0.289017341
Indiana Pacers,2676000,Metta World Peace, SF,2003-2004,0.283236994
New York Knicks,2610000,John Amaechi, PF,2003-2004,0.277456647
Chicago Bulls,2577000,Jamal Crawford, SG,2003-2004,0.271676301
Memphis Grizzlies,2533000,Shane Battier, SF,2003-2004,0.265895954
Memphis Grizzlies,2445000,James Posey, SF,2003-2004,0.260115607
New Orleans Hornets,2400000,Stacey Augmon, SF,2003-2004,0.25433526
Milwaukee Bucks,2373000,Joel Przybilla, C,2003-2004,0.248554913
Minnesota Timberwolves,2350000,Quincy Lewis, SG,2003-2004,0.242774566
Toronto Raptors,2270000,Dion Glover, SG,2003-2004,0.23699422
Indiana Pacers,2264000,Jeff Foster, PF,2003-2004,0.231213873
LA Clippers,2256000,Keyon Dooling, PG,2003-2004,0.225433526
Los Angeles Lakers,2244000,Devean George, SF,2003-2004,0.219653179
Toronto Raptors,2230000,Jerome Moiso, C,2003-2004,0.213872832
Philadelphia 76ers,2225000,Kenny Thomas, PF,2003-2004,0.208092486
Washington Wizards,2211000,Etan Thomas, C,2003-2004,0.202312139
Cleveland Cavaliers,2134000,Mateen Cleaves, PG,2003-2004,0.196531792
Cleveland Cavaliers,2118000,DeSagana Diop, C,2003-2004,0.190751445
Atlanta Hawks,2109000,Jason Collier, C,2003-2004,0.184971098
Boston Celtics,2104000,Jumaine Jones, SF,2003-2004,0.179190751
Houston Rockets,2102000,Scott Padgett, PF,2003-2004,0.173410405
San Antonio Spurs,1995000,Hedo Turkoglu, SF,2003-2004,0.167630058
Denver Nuggets,1948000,Rodney White, SF,2003-2004,0.161849711
Milwaukee Bucks,1898000,Desmond Mason, SF,2003-2004,0.156069364
Phoenix Suns,1850000,Joe Johnson, G,2003-2004,0.150289017
LA Clippers,1805000,Quentin Richardson, SF,2003-2004,0.144508671
Cleveland Cavaliers,1757000,Kedrick Brown, SG,2003-2004,0.138728324
New Orleans Hornets,1735000,Jamaal Magloire, C,2003-2004,0.132947977
Seattle SuperSonics,1670000,Vladimir Radmanovic, SF,2003-2004,0.12716763
Golden State Warriors,1667000,Speedy Claxton, PG,2003-2004,0.121387283
Toronto Raptors,1646000,Morris Peterson, SG,2003-2004,0.115606936
Phoenix Suns,1631000,Donnell Harvey, PF,2003-2004,0.10982659
Utah Jazz,1624000,DeShawn Stevenson, SG,2003-2004,0.104046243
New Jersey Nets,1586000,Richard Jefferson, F,2003-2004,0.098265896
Memphis Grizzlies,1580000,Jake Tsakalidis, C,2003-2004,0.092485549
Dallas Mavericks,1537000,Mamadou N'diaye, C,2003-2004,0.086705202
Golden State Warriors,1507000,Troy Murphy, PF,2003-2004,0.080924855
Minnesota Timberwolves,1474000,Mark Madsen, PF,2003-2004,0.075144509
New Orleans Hornets,1300000,Bryce Drew, PG,2003-2004,0.069364162
Toronto Raptors,1292000,Michael Bradley, PF,2003-2004,0.063583815
New Jersey Nets,1227000,Jason Collins, C,2003-2004,0.057803468
Portland Trail Blazers,1172000,Zach Randolph, PF,2003-2004,0.052023121
New Jersey Nets,995000,Brandon Armstrong, SG,2003-2004,0.046242775
Utah Jazz,956000,Andrei Kirilenko, SF,2003-2004,0.040462428
Philadelphia 76ers,887000,Samuel Dalembert, C,2003-2004,0.034682081
Indiana Pacers,862000,Primoz Brezec, C,2003-2004,0.028901734
Indiana Pacers,861000,Jamaal Tinsley, PG,2003-2004,0.023121387
San Antonio Spurs,856000,Tony Parker, PG,2003-2004,0.01734104
Sacramento Kings,764000,Gerald Wallace, SF,2003-2004,0.011560694
LA Clippers,639000,Predrag Drobnjak, C,2003-2004,0.005780347
Minnesota Timberwolves,587000,Trenton Hassell, SF,2003-2004,0
Miami Heat,29464000,Shaquille O'Neal, C,2004-2005,0.990909091
Dallas Mavericks,14609000,Michael Finley, SG,2004-2005,0.981818182
Houston Rockets,14487000,Tracy McGrady, SG,2004-2005,0.972727273
Orlando Magic,14487000,Grant Hill, SF,2004-2005,0.963636364
Miami Heat,13440000,Eddie Jones, SG,2004-2005,0.954545455
Los Angeles Lakers,13346000,Brian Grant, PF,2004-2005,0.945454545
Toronto Raptors,13281000,Vince Carter, SF,2004-2005,0.936363636
New York Knicks,12900000,Tim Thomas, PF,2004-2005,0.927272727
Chicago Bulls,12000000,Antonio Davis, PF,2004-2005,0.918181818
San Antonio Spurs,12000000,Glenn Robinson, SF,2004-2005,0.909090909
Portland Trail Blazers,11821000,Nick Van Exel, PG,2004-2005,0.9
Houston Rockets,19684000,Dikembe Mutombo, C,2004-2005,0.890909091
Portland Trail Blazers,10937000,Theo Ratliff, C,2004-2005,0.881818182
LA Clippers,9817000,Kerry Kittles, SG,2004-2005,0.872727273
Philadelphia 76ers,9300000,Jamal Mashburn, SF,2004-2005,0.863636364
New York Knicks,8450000,Maurice Taylor, PF,2004-2005,0.854545455
Portland Trail Blazers,8444000,Derek Anderson, SG,2004-2005,0.845454545
Dallas Mavericks,8273000,Alan Henderson, PF,2004-2005,0.836363636
Indiana Pacers,8260000,Austin Croshere, PF,2004-2005,0.827272727
Dallas Mavericks,8105000,Erick Dampier, C,2004-2005,0.818181818
Orlando Magic,7992000,Kelvin Cato, C,2004-2005,0.809090909
Denver Nuggets,7750000,Marcus Camby, C,2004-2005,0.8
New York Knicks,17531000,Allan Houston, SG,2004-2005,0.790909091
New York Knicks,7300000,Shandon Anderson, SF,2004-2005,0.781818182
Memphis Grizzlies,7150000,Lorenzen Wright, PF,2004-2005,0.772727273
Dallas Mavericks,7000000,Jerry Stackhouse, SF,2004-2005,0.763636364
Sacramento Kings,6875000,Doug Christie, SG,2004-2005,0.754545455
Sacramento Kings,6875000,Peja Stojakovic, SF,2004-2005,0.745454545
Denver Nuggets,6667000,Kenyon Martin, PF,2004-2005,0.736363636
Utah Jazz,6375000,Howard Eisley, PG,2004-2005,0.727272727
San Antonio Spurs,6270000,Nazr Mohammed, C,2004-2005,0.718181818
Seattle SuperSonics,6191000,Vitaly Potapenko, C,2004-2005,0.709090909
Miami Heat,6078000,Christian Laettner, PF,2004-2005,0.7
Sacramento Kings,17351000,Chris Webber, C,2004-2005,0.690909091
Memphis Grizzlies,6022000,Stromile Swift, PF,2004-2005,0.681818182
Portland Trail Blazers,15750000,Damon Stoudamire, PG,2004-2005,0.672727273
Seattle SuperSonics,14625000,Ray Allen, SG,2004-2005,0.663636364
Minnesota Timberwolves,14625000,Latrell Sprewell, SG,2004-2005,0.654545455
Boston Celtics,14625000,Antoine Walker, PF,2004-2005,0.645454545
New York Knicks,14625000,Stephon Marbury, PG,2004-2005,0.636363636
Detroit Pistons,6000000,Ben Wallace, PF,2004-2005,0.627272727
Seattle SuperSonics,5922000,Danny Fortson, C,2004-2005,0.618181818
Milwaukee Bucks,5900000,Calvin Booth, C,2004-2005,0.609090909
Milwaukee Bucks,5899000,Joe Smith, PF,2004-2005,0.6
Houston Rockets,5899000,Clarence Weatherspoon, PF,2004-2005,0.590909091
New York Knicks,5885000,Kurt Thomas, PF,2004-2005,0.581818182
Charlotte Bobcats,5884000,Jahidi White, C,2004-2005,0.572727273
Sacramento Kings,5883000,Cuttino Mobley, SG,2004-2005,0.563636364
Indiana Pacers,5792000,Scot Pollard, C,2004-2005,0.554545455
Phoenix Suns,5750000,Steve Nash, PG,2004-2005,0.545454545
Dallas Mavericks,5714000,Shawn Bradley, C,2004-2005,0.536363636
New York Knicks,5600000,Jerome Williams, PF,2004-2005,0.527272727
Sacramento Kings,5500000,Corliss Williamson, PF,2004-2005,0.518181818
Philadelphia 76ers,5500000,Aaron McKie, SG,2004-2005,0.509090909
Portland Trail Blazers,5419000,Darius Miles, SF,2004-2005,0.5
Washington Wizards,5361000,Kwame Brown, C,2004-2005,0.490909091
Phoenix Suns,5355000,Bo Outlaw, PF,2004-2005,0.481818182
Milwaukee Bucks,4915000,Marcus Fizer, F,2004-2005,0.472727273
Toronto Raptors,4875000,Lamond Murray, SF,2004-2005,0.463636364
Cleveland Cavaliers,4875000,Eric Snow, PG,2004-2005,0.454545455
Orlando Magic,4800000,Tony Battie, C,2004-2005,0.445454545
Atlanta Hawks,4800000,Michael Stewart, PF,2004-2005,0.436363636
Memphis Grizzlies,4482000,Mike Miller, SG,2004-2005,0.427272727
Memphis Grizzlies,4318000,Pau Gasol, C,2004-2005,0.418181818
Philadelphia 76ers,4225000,Marc Jackson, PF,2004-2005,0.409090909
Los Angeles Lakers,4200000,Chucky Atkins, PG,2004-2005,0.4
Denver Nuggets,4119000,DerMarr Johnson, SF,2004-2005,0.390909091
Los Angeles Lakers,3785000,Chris Mihm, C,2004-2005,0.381818182
New York Knicks,3600000,Moochie Norris, PG,2004-2005,0.372727273
New York Knicks,3475000,Jamal Crawford, SG,2004-2005,0.363636364
Portland Trail Blazers,3215000,Joel Przybilla, C,2004-2005,0.354545455
Memphis Grizzlies,3212000,Shane Battier, SF,2004-2005,0.345454545
Toronto Raptors,3150000,Aaron Williams, C,2004-2005,0.336363636
Chicago Bulls,3150000,Othella Harrington, PF,2004-2005,0.327272727
Sacramento Kings,3150000,Bobby Jackson, PG,2004-2005,0.318181818
Miami Heat,3073000,Keyon Dooling, PG,2004-2005,0.309090909
Toronto Raptors,3054000,Jerome Moiso, C,2004-2005,0.3
Washington Wizards,3043000,Etan Thomas, C,2004-2005,0.290909091
Golden State Warriors,3000000,Derek Fisher, PG,2004-2005,0.281818182
New Orleans Hornets,3000000,George Lynch, SF,2004-2005,0.272727273
Golden State Warriors,2232000,Troy Murphy, PF,2004-2005,0.263636364
Minnesota Timberwolves,2212000,Mark Madsen, PF,2004-2005,0.254545455
Sacramento Kings,1985000,Michael Bradley, PF,2004-2005,0.245454545
New Jersey Nets,1887000,Jason Collins, C,2004-2005,0.236363636
Portland Trail Blazers,1805000,Zach Randolph, PF,2004-2005,0.227272727
Utah Jazz,1672000,Andrei Kirilenko, SF,2004-2005,0.218181818
Philadelphia 76ers,1600000,Samuel Dalembert, C,2004-2005,0.209090909
Indiana Pacers,1554000,Jamaal Tinsley, PG,2004-2005,0.2
Charlotte Bobcats,1554000,Primoz Brezec, C,2004-2005,0.190909091
San Antonio Spurs,1545000,Tony Parker, PG,2004-2005,0.181818182
Charlotte Bobcats,1377000,Gerald Wallace, SF,2004-2005,0.172727273
Seattle SuperSonics,2969000,Mateen Cleaves, PG,2004-2005,0.163636364
Atlanta Hawks,2949000,Jason Collier, C,2004-2005,0.154545455
Minnesota Timberwolves,2937000,Eddie Griffin, PF,2004-2005,0.145454545
Orlando Magic,2803000,Hedo Turkoglu, SF,2004-2005,0.136363636
Cleveland Cavaliers,2695000,DeSagana Diop, C,2004-2005,0.127272727
Milwaukee Bucks,2680000,Desmond Mason, SF,2004-2005,0.118181818
Phoenix Suns,2562000,Quentin Richardson, SF,2004-2005,0.109090909
Golden State Warriors,2481000,Rodney White, SF,2004-2005,0.1
New Orleans Hornets,2474000,Jamaal Magloire, C,2004-2005,0.090909091
Golden State Warriors,2390000,Speedy Claxton, PG,2004-2005,0.081818182
Toronto Raptors,2371000,Morris Peterson, SG,2004-2005,0.072727273
New Jersey Nets,2363000,Donnell Harvey, PF,2004-2005,0.063636364
Orlando Magic,2362000,DeShawn Stevenson, SG,2004-2005,0.054545455
Phoenix Suns,2358000,Joe Johnson, G,2004-2005,0.045454545
Philadelphia 76ers,2332000,Kedrick Brown, SG,2004-2005,0.036363636
Memphis Grizzlies,2322000,Jake Tsakalidis, C,2004-2005,0.027272727
Seattle SuperSonics,2301000,Vladimir Radmanovic, SF,2004-2005,0.018181818
LA Clippers,2269000,Mamadou N'diaye, C,2004-2005,0.009090909
New Jersey Nets,2266000,Richard Jefferson, F,2004-2005,0
Miami Heat,20000000,Shaquille O'Neal, C,2005-2006,0.9975
LA Clippers,15750000,Vin Baker, PF,2005-2006,0.995
Orlando Magic,15750000,Anfernee Hardaway, SF,2005-2006,0.9925
Houston Rockets,15694250,Tracy McGrady, SG,2005-2006,0.99
Orlando Magic,15694250,Grant Hill, SF,2005-2006,0.9875
Memphis Grizzlies,14666250,Eddie Jones, SG,2005-2006,0.985
Phoenix Suns,13975000,Tim Thomas, PF,2005-2006,0.9825
Toronto Raptors,13865000,Antonio Davis, PF,2005-2006,0.98
Boston Celtics,13843156,Paul Pierce, SF,2005-2006,0.9775
New Jersey Nets,13843156,Vince Carter, SF,2005-2006,0.975
Golden State Warriors,13700000,Baron Davis, PG,2005-2006,0.9725
Philadelphia 76ers,19125000,Chris Webber, C,2005-2006,0.97
Orlando Magic,13700000,Steve Francis, PG,2005-2006,0.9675
Phoenix Suns,13700000,Shawn Marion, SG,2005-2006,0.965
Seattle SuperSonics,13223140,Ray Allen, SG,2005-2006,0.9625
LA Clippers,13152000,Elton Brand, PF,2005-2006,0.96
Milwaukee Bucks,12000000,Michael Redd, SG,2005-2006,0.9575
Atlanta Hawks,12000000,Joe Johnson, G,2005-2006,0.955
Portland Trail Blazers,11666666,Theo Ratliff, C,2005-2006,0.9525
Sacramento Kings,11500000,Mike Bibby, PG,2005-2006,0.95
Los Angeles Lakers,11448596,Lamar Odom, PF,2005-2006,0.9475
Utah Jazz,11260483,Carlos Boozer, PF,2005-2006,0.945
Minnesota Timberwolves,18000000,Kevin Garnett, PF,2005-2006,0.9425
Memphis Grizzlies,10993000,Pau Gasol, C,2005-2006,0.94
Utah Jazz,10983000,Andrei Kirilenko, SF,2005-2006,0.9375
Denver Nuggets,10886364,Kenyon Martin, PF,2005-2006,0.935
Detroit Pistons,10860000,Rasheed Wallace, PF,2005-2006,0.9325
Portland Trail Blazers,10666667,Zach Randolph, PF,2005-2006,0.93
Boston Celtics,10623288,Raef LaFrentz, C,2005-2006,0.9275
Minnesota Timberwolves,10500000,Wally Szczerbiak, SG,2005-2006,0.925
Cleveland Cavaliers,10344900,Larry Hughes, SG,2005-2006,0.9225
Washington Wizards,10243200,Gilbert Arenas, PG,2005-2006,0.92
New Jersey Nets,10200000,Richard Jefferson, F,2005-2006,0.9175
Philadelphia 76ers,16453125,Allen Iverson, SG,2005-2006,0.915
Philadelphia 76ers,10075000,Jamal Mashburn, SF,2005-2006,0.9125
New York Knicks,16453125,Stephon Marbury, PG,2005-2006,0.91
New Jersey Nets,16440000,Jason Kidd, PG,2005-2006,0.9075
Indiana Pacers,16440000,Jermaine O'Neal, C,2005-2006,0.905
Los Angeles Lakers,15946875,Kobe Bryant, SF,2005-2006,0.9025
San Antonio Spurs,15845157,Tim Duncan, C,2005-2006,0.9
Phoenix Suns,9625000,Steve Nash, PG,2005-2006,0.8975
Seattle SuperSonics,9571429,Rashard Lewis, PF,2005-2006,0.895
Denver Nuggets,9400000,Marcus Camby, C,2005-2006,0.8925
New York Knicks,9100000,Maurice Taylor, PF,2005-2006,0.89
Golden State Warriors,8888888,Jason Richardson, SG,2005-2006,0.8875
Sacramento Kings,8750000,Brad Miller, C,2005-2006,0.885
Cleveland Cavaliers,8743238,Zydrunas Ilgauskas, C,2005-2006,0.8825
Orlando Magic,8640000,Kelvin Cato, C,2005-2006,0.88
Philadelphia 76ers,8477178,Samuel Dalembert, C,2005-2006,0.8775
San Antonio Spurs,8400000,Tony Parker, PG,2005-2006,0.875
Dallas Mavericks,8367187,Jerry Stackhouse, SF,2005-2006,0.8725
Milwaukee Bucks,8333334,Jamaal Magloire, C,2005-2006,0.87
Chicago Bulls,8299670,Tyson Chandler, C,2005-2006,0.8675
Utah Jazz,8250000,Mehmet Okur, C,2005-2006,0.865
Sacramento Kings,8183769,Kenny Thomas, PF,2005-2006,0.8625
Detroit Pistons,8125000,Richard Hamilton, SG,2005-2006,0.86
Denver Nuggets,8100000,Andre Miller, PG,2005-2006,0.8575
Milwaukee Bucks,8000000,Bobby Simmons, SF,2005-2006,0.855
Sacramento Kings,8000000,Bonzi Wells, SG,2005-2006,0.8525
"NO/Oklahoma City
 Hornets",8000000,P.J. Brown, PF,2005-2006,0.85
Indiana Pacers,7900000,Austin Croshere, PF,2005-2006,0.8475
Memphis Grizzlies,7700000,Lorenzen Wright, PF,2005-2006,0.845
Dallas Mavericks,7662500,Erick Dampier, C,2005-2006,0.8425
Miami Heat,7562500,Jason Williams, PG,2005-2006,0.84
Sacramento Kings,7525000,Peja Stojakovic, SF,2005-2006,0.8375
Dallas Mavericks,7500000,Doug Christie, SG,2005-2006,0.835
Los Angeles Lakers,7500000,Kwame Brown, C,2005-2006,0.8325
Detroit Pistons,7500000,Ben Wallace, PF,2005-2006,0.83
San Antonio Spurs,7428937,Manu Ginobili, G,2005-2006,0.8275
New York Knicks,7394663,Eddy Curry, C,2005-2006,0.825
Golden State Warriors,7365079,Troy Murphy, PF,2005-2006,0.8225
Golden State Warriors,7312500,Adonal Foyle, C,2005-2006,0.82
Portland Trail Blazers,7250000,Darius Miles, SF,2005-2006,0.8175
LA Clippers,7241379,Cuttino Mobley, SG,2005-2006,0.815
"NO/Oklahoma City
 Hornets",7233333,Desmond Mason, SF,2005-2006,0.8125
Indiana Pacers,7175000,Jonathan Bender, SF,2005-2006,0.81
Phoenix Suns,7085919,Kurt Thomas, PF,2005-2006,0.8075
LA Clippers,7000000,Corey Maggette, SF,2005-2006,0.805
New York Knicks,6979147,Malik Rose, PF,2005-2006,0.8025
Atlanta Hawks,6975500,Al Harrington, PF,2005-2006,0.8
Indiana Pacers,5610000,Stephen Jackson, SF,2005-2006,0.7975
Houston Rockets,5594906,Yao Ming, C,2005-2006,0.795
Minnesota Timberwolves,5515875,Mark Blount, C,2005-2006,0.7925
San Antonio Spurs,5500000,Nazr Mohammed, C,2005-2006,0.79
New Jersey Nets,5500000,Jason Collins, C,2005-2006,0.7875
Cleveland Cavaliers,5484375,Eric Snow, PG,2005-2006,0.785
Indiana Pacers,5400000,Jamaal Tinsley, PG,2005-2006,0.7825
Orlando Magic,5393300,Hedo Turkoglu, SF,2005-2006,0.78
Golden State Warriors,5393300,Derek Fisher, PG,2005-2006,0.7775
Dallas Mavericks,5393300,Marquis Daniels, SG,2005-2006,0.775
Washington Wizards,5393300,Etan Thomas, C,2005-2006,0.7725
Minnesota Timberwolves,5280528,Marko Jaric, PG,2005-2006,0.77
Minnesota Timberwolves,5253000,Troy Hudson, PG,2005-2006,0.7675
Orlando Magic,5200000,Tony Battie, C,2005-2006,0.765
Houston Rockets,5075000,David Wesley, SG,2005-2006,0.7625
Utah Jazz,5020000,Matt Harpring, SF,2005-2006,0.76
Los Angeles Lakers,5000600,Devean George, SF,2005-2006,0.7575
Washington Wizards,5000000,Antonio Daniels, PG,2005-2006,0.755
Houston Rockets,5000000,Stromile Swift, PF,2005-2006,0.7525
Charlotte Bobcats,5000000,Gerald Wallace, SF,2005-2006,0.75
Miami Heat,5000000,Udonis Haslem, PF,2005-2006,0.7475
New York Knicks,6945500,Quentin Richardson, SF,2005-2006,0.745
LA Clippers,6906000,Howard Eisley, PG,2005-2006,0.7425
Miami Heat,6884000,Antoine Walker, PF,2005-2006,0.74
Memphis Grizzlies,6871431,Mike Miller, SG,2005-2006,0.7375
Sacramento Kings,6842105,Metta World Peace, SF,2005-2006,0.735
San Antonio Spurs,6720000,Rasho Nesterovic, C,2005-2006,0.7325
Dallas Mavericks,6666667,Jason Terry, G,2005-2006,0.73
New York Knicks,6480000,Jamal Crawford, SG,2005-2006,0.7275
Milwaukee Bucks,6353200,Joe Smith, PF,2005-2006,0.725
Portland Trail Blazers,6353200,Ruben Patterson, PF,2005-2006,0.7225
Toronto Raptors,6300000,Alvin Williams, PG,2005-2006,0.72
Indiana Pacers,6274935,Scot Pollard, C,2005-2006,0.7175
Seattle SuperSonics,6207670,Danny Fortson, C,2005-2006,0.715
LA Clippers,6187500,Sam Cassell, PG,2005-2006,0.7125
Sacramento Kings,6000000,Corliss Williamson, PF,2005-2006,0.71
Minnesota Timberwolves,5909800,Ricky Davis, SG,2005-2006,0.7075
Detroit Pistons,5909800,Chauncey Billups, PG,2005-2006,0.705
Houston Rockets,5900400,Juwan Howard, PF,2005-2006,0.7025
Minnesota Timberwolves,5900400,Michael Olowokandi, C,2005-2006,0.7
Sacramento Kings,5000000,Shareef Abdur-Rahim, PF,2005-2006,0.6975
New York Knicks,5000000,Jerome James, C,2005-2006,0.695
Sacramento Kings,4950000,Brian Skinner, PF,2005-2006,0.6925
Memphis Grizzlies,4950000,Brian Cardinal, PF,2005-2006,0.69
Memphis Grizzlies,4903000,Shane Battier, SF,2005-2006,0.6875
Cleveland Cavaliers,4799108,Donyell Marshall, PF,2005-2006,0.685
Milwaukee Bucks,4750000,Dan Gadzuric, C,2005-2006,0.6825
San Antonio Spurs,4691390,Brent Barry, SG,2005-2006,0.68
Cleveland Cavaliers,4621800,LeBron James, SF,2005-2006,0.6775
Charlotte Bobcats,4600000,Brevin Knight, PG,2005-2006,0.675
Toronto Raptors,4550000,Morris Peterson, SG,2005-2006,0.6725
New Jersey Nets,4550000,Marc Jackson, PF,2005-2006,0.67
Golden State Warriors,4506261,Mike Dunleavy, SG,2005-2006,0.6675
Brooklyn Nets,4501200,Andrea Bargnani, C,2005-2006,0.665
Memphis Grizzlies,4500000,Chucky Atkins, PG,2005-2006,0.6625
Orlando Magic,4493160,Dwight Howard, C,2005-2006,0.66
Utah Jazz,4400000,Greg Ostertag, C,2005-2006,0.6575
Minnesota Timberwolves,4350000,Trenton Hassell, SF,2005-2006,0.655
Milwaukee Bucks,4340520,Andrew Bogut, C,2005-2006,0.6525
Phoenix Suns,4250000,Raja Bell, SG,2005-2006,0.65
Memphis Grizzlies,4250000,Damon Stoudamire, PG,2005-2006,0.6475
Houston Rockets,4200000,Moochie Norris, PG,2005-2006,0.645
Denver Nuggets,4190476,Eduardo Najera, PF,2005-2006,0.6425
Orlando Magic,4135200,Darko Milicic, C,2005-2006,0.64
Cleveland Cavaliers,4065811,Drew Gooden, PF,2005-2006,0.6375
Charlotte Bobcats,4020120,Emeka Okafor, C,2005-2006,0.635
Utah Jazz,4000000,Gordan Giricek, SG,2005-2006,0.6325
Washington Wizards,4000000,Brendan Haywood, C,2005-2006,0.63
Indiana Pacers,4000000,Sarunas Jasikevicius, PG,2005-2006,0.6275
Orlando Magic,4000000,Carlos Arroyo, PG,2005-2006,0.625
Toronto Raptors,3938000,Eric Williams, PF,2005-2006,0.6225
Atlanta Hawks,3883000,Marvin Williams, PF,2005-2006,0.62
Houston Rockets,3850000,Rafer Alston, PG,2005-2006,0.6175
